model,nmse_mean,nmse_std,l0_mean,l0_std,frac_dead_mean,frac_dead_std,n_seeds
overcomplete_batchtopk,0.0015081529023284542,8.865087213268112e-05,64.0,0.0,0.0064453125,0.0028134492755640494,5
undercomplete_l1,0.00263399938121438,0.00010557675699890035,67.57410278320313,0.7621192473089736,0.0,0.0,5
