representation,target,task,metric,seed,trained,random_label,descriptor,descriptor_noleak,baseline_leaky,gap_vs_descriptor,gap_vs_descriptor_noleak,chance,prevalence,rdkit_version
raw,drug_likeness,regression,R2,0,0.5736902655188502,-0.003013243246003716,0.5878428103212221,0.5878428103212221,False,-0.014152544802371936,-0.014152544802371936,0.0,,2023.09.5
latent,drug_likeness,regression,R2,0,0.5847187640254605,-0.06251636475688294,0.5878428103212221,0.5878428103212221,False,-0.0031240462957615733,-0.0031240462957615733,0.0,,2023.09.5
reconstruction,drug_likeness,regression,R2,0,0.5185198433684518,-0.006470848796539697,0.5878428103212221,0.5878428103212221,False,-0.06932296695277029,-0.06932296695277029,0.0,,2023.09.5
raw,complexity_ringproxy,regression,R2,0,0.9546184506665134,-0.008573270173761971,0.9991189589057164,0.9115266508575927,True,-0.04450050823920304,0.04309179980892075,0.0,,2023.09.5
latent,complexity_ringproxy,regression,R2,0,0.9422860066841783,-0.05150110698101362,0.9991189589057164,0.9115266508575927,True,-0.05683295222153817,0.03075935582658562,0.0,,2023.09.5
reconstruction,complexity_ringproxy,regression,R2,0,0.9406114060206607,-0.00992456529826069,0.9991189589057164,0.9115266508575927,True,-0.058507552885055714,0.029084755163068077,0.0,,2023.09.5
raw,lipophilicity,regression,R2,0,0.8880930436089731,-0.006031927906103851,0.9581236931964252,0.9581236931964252,False,-0.07003064958745209,-0.07003064958745209,0.0,,2023.09.5
latent,lipophilicity,regression,R2,0,0.8315894652372644,-0.058005953024676815,0.9581236931964252,0.9581236931964252,False,-0.1265342279591608,-0.1265342279591608,0.0,,2023.09.5
reconstruction,lipophilicity,regression,R2,0,0.8287905633260217,-0.0025462180282134206,0.9581236931964252,0.9581236931964252,False,-0.12933312987040346,-0.12933312987040346,0.0,,2023.09.5
raw,size,regression,R2,0,0.9952866529487772,-0.00598970237677432,0.9775446520447746,0.9775446520447746,False,0.017742000904002575,0.017742000904002575,0.0,,2023.09.5
latent,size,regression,R2,0,0.9803568210963605,-0.06919792031734717,0.9775446520447746,0.9775446520447746,False,0.0028121690515858777,0.0028121690515858777,0.0,,2023.09.5
reconstruction,size,regression,R2,0,0.9795337740445365,-0.017366126169954255,0.9775446520447746,0.9775446520447746,False,0.001989121999761867,0.001989121999761867,0.0,,2023.09.5
raw,polarity,regression,R2,0,0.9932267713349964,-0.00676353747877978,0.9854793001237131,0.9854793001237131,False,0.007747471211283274,0.007747471211283274,0.0,,2023.09.5
latent,polarity,regression,R2,0,0.9730059701312695,-0.06802424327133672,0.9854793001237131,0.9854793001237131,False,-0.01247332999244355,-0.01247332999244355,0.0,,2023.09.5
reconstruction,polarity,regression,R2,0,0.9677195266350147,-0.011484338592785193,0.9854793001237131,0.9854793001237131,False,-0.017759773488698394,-0.017759773488698394,0.0,,2023.09.5
raw,flexibility,regression,R2,0,0.6861758828263567,-0.01017670005624538,0.9999999793465941,0.8955687381933093,True,-0.31382409652023746,-0.20939285536695262,0.0,,2023.09.5
latent,flexibility,regression,R2,0,0.5809070947004491,-0.06394271536052276,0.9999999793465941,0.8955687381933093,True,-0.419092884646145,-0.3146616434928602,0.0,,2023.09.5
reconstruction,flexibility,regression,R2,0,0.5664006664648942,-0.005726462815403455,0.9999999793465941,0.8955687381933093,True,-0.43359931288169995,-0.3291680717284151,0.0,,2023.09.5
raw,molecular_weight,regression,R2,0,0.9952690396587162,-0.006413419588053859,0.977544661374236,0.977544661374236,False,0.017724378284480147,0.017724378284480147,0.0,,2023.09.5
latent,molecular_weight,regression,R2,0,0.9803607130167582,-0.054617004186171325,0.977544661374236,0.977544661374236,False,0.002816051642522188,0.002816051642522188,0.0,,2023.09.5
reconstruction,molecular_weight,regression,R2,0,0.9795228364081738,-0.013110950402675403,0.977544661374236,0.977544661374236,False,0.0019781750339378235,0.0019781750339378235,0.0,,2023.09.5
raw,halogen,classification,AUROC,0,0.999843066335821,0.5065240960146156,0.999998442345765,0.9998921324442243,True,-0.00015537600994397494,-4.906610840327286e-05,0.5,0.49931365820178447,2023.09.5
latent,halogen,classification,AUROC,0,0.9985996688427097,0.48875581485003466,0.999998442345765,0.9998921324442243,True,-0.001398773503055284,-0.0012924636015145818,0.5,0.49931365820178447,2023.09.5
reconstruction,halogen,classification,AUROC,0,0.9996662725801453,0.508193088816681,0.999998442345765,0.9998921324442243,True,-0.00033216976561967204,-0.00022585986407896996,0.5,0.49931365820178447,2023.09.5
raw,aromaticity,classification,AUROC,0,1.0,0.49298591232018496,0.9999966858006443,0.9999933716012885,True,3.3141993557306293e-06,6.628398711461259e-06,0.5,0.9061271604167966,2023.09.5
latent,aromaticity,classification,AUROC,0,0.9972679949977685,0.49622597359184356,0.9999966858006443,0.9999933716012885,True,-0.002728690802875744,-0.0027253766035200133,0.5,0.9061271604167966,2023.09.5
reconstruction,aromaticity,classification,AUROC,0,1.0,0.48837644218610865,0.9999966858006443,0.9999933716012885,True,3.3141993557306293e-06,6.628398711461259e-06,0.5,0.9061271604167966,2023.09.5
raw,urea,classification,AUROC,0,0.9125887250887251,0.5255786625857404,0.9997781872781872,0.9997781872781872,False,-0.08718946218946211,-0.08718946218946211,0.5,0.009546390466088475,2023.09.5
latent,urea,classification,AUROC,0,0.8576047638547639,0.5003821315296726,0.9997781872781872,0.9997781872781872,False,-0.14217342342342332,-0.14217342342342332,0.5,0.009546390466088475,2023.09.5
reconstruction,urea,classification,AUROC,0,0.8457719082719084,0.4026147758442376,0.9997781872781872,0.9997781872781872,False,-0.15400627900627883,-0.15400627900627883,0.5,0.009546390466088475,2023.09.5
raw,boron,classification,AUROC,0,1.0,0.3887010954616588,1.0,1.0,True,0.0,0.0,0.5,0.002870156610719411,2023.09.5
latent,boron,classification,AUROC,0,0.9999759012916908,0.5287164511194549,1.0,1.0,True,-2.409870830921701e-05,-2.409870830921701e-05,0.5,0.002870156610719411,2023.09.5
reconstruction,boron,classification,AUROC,0,1.0,0.47970626743325556,1.0,1.0,True,0.0,0.0,0.5,0.002870156610719411,2023.09.5
raw,drug_likeness,regression,R2,1,0.5664436442895634,-0.006557321699038887,0.6131901432499829,0.6131901432499829,False,-0.04674649896041949,-0.04674649896041949,0.0,,2023.09.5
latent,drug_likeness,regression,R2,1,0.6248218414420426,-0.061180010399739526,0.6131901432499829,0.6131901432499829,False,0.01163169819205967,0.01163169819205967,0.0,,2023.09.5
reconstruction,drug_likeness,regression,R2,1,0.5412837373610988,-0.010387394251140325,0.6131901432499829,0.6131901432499829,False,-0.07190640588888408,-0.07190640588888408,0.0,,2023.09.5
raw,complexity_ringproxy,regression,R2,1,0.9478631011403803,-0.007650359678459617,0.9988807572222487,0.9141613466587235,True,-0.05101765608186837,0.0337017544816568,0.0,,2023.09.5
latent,complexity_ringproxy,regression,R2,1,0.936083848456214,-0.0637546837454479,0.9988807572222487,0.9141613466587235,True,-0.06279690876603472,0.021922501797490446,0.0,,2023.09.5
reconstruction,complexity_ringproxy,regression,R2,1,0.9327415069809801,-0.013133973677439403,0.9988807572222487,0.9141613466587235,True,-0.06613925024126854,0.018580160322256623,0.0,,2023.09.5
raw,lipophilicity,regression,R2,1,0.8895734896732206,-0.007447365916722903,0.9586956188494804,0.9586956188494804,False,-0.06912212917625982,-0.06912212917625982,0.0,,2023.09.5
latent,lipophilicity,regression,R2,1,0.835343163228506,-0.04741687265450789,0.9586956188494804,0.9586956188494804,False,-0.12335245562097441,-0.12335245562097441,0.0,,2023.09.5
reconstruction,lipophilicity,regression,R2,1,0.8307403847791996,-0.008427002077442625,0.9586956188494804,0.9586956188494804,False,-0.12795523407028075,-0.12795523407028075,0.0,,2023.09.5
raw,size,regression,R2,1,0.9970033368498296,-0.012623357541444058,0.9784667089544226,0.9784667089544226,False,0.018536627895407,0.018536627895407,0.0,,2023.09.5
latent,size,regression,R2,1,0.9876030163393147,-0.04705322055548811,0.9784667089544226,0.9784667089544226,False,0.009136307384892128,0.009136307384892128,0.0,,2023.09.5
