epoch,train_mse,val_nmse,val_mean_l0,n_dead_epoch,n_resampled
0,0.778066271491218,0.21775154769420624,64.0,0,0
1,0.1615084872434014,0.11945705860853195,64.0,0,0
2,0.10052864828653503,0.08160477876663208,64.0,0,0
3,0.07211840577554285,0.06109427660703659,64.0,0,0
4,0.05553519379412919,0.04846204072237015,64.0,0,0
5,0.044954679775656314,0.03981815651059151,64.0,0,0
6,0.03752891085388368,0.033766742795705795,64.0,0,0
7,0.032093066166628874,0.029015831649303436,64.0,0,0
8,0.02776876598465861,0.025252580642700195,64.0,0,0
9,0.02426581574898017,0.022193552926182747,64.0,0,0
10,0.021378408300510625,0.019663313403725624,64.0,0,0
11,0.018880229606701618,0.017277143895626068,64.0,0,0
12,0.01659777791549762,0.015256955288350582,64.0,0,0
13,0.01470458901307562,0.013514937832951546,64.0,0,0
14,0.013026433408652482,0.012027399614453316,64.0,0,0
15,0.011646410777119169,0.010769683867692947,64.0,0,0
16,0.010458700407884623,0.009723061695694923,64.0,0,0
17,0.009471637948432513,0.008815125562250614,64.0,0,0
18,0.008592602282174323,0.008025809191167355,64.0,0,0
19,0.007823612336722905,0.007322757039219141,64.0,0,0
20,0.007156118938470618,0.006718628574162722,64.0,0,0
21,0.006564249774735225,0.0061730267480015755,64.0,0,0
22,0.0060256073382078555,0.005650039296597242,64.0,0,0
23,0.005545779400946279,0.005227683577686548,64.0,0,0
24,0.005114662036168994,0.004824429750442505,64.0,0,0
25,0.0047302137929619405,0.004460175987333059,64.0,0,0
26,0.004374996105437739,0.0041866968385875225,64.0,0,0
27,0.004076971170051317,0.0038886454422026873,64.0,0,0
28,0.0038032341266475748,0.0036459409166127443,64.0,0,0
29,0.003560192862590938,0.003417083527892828,64.0,0,0
30,0.0033477542497086944,0.0032189784105867147,64.0,0,0
31,0.003144732680531186,0.003046463243663311,64.0,0,0
32,0.0029585352371724553,0.0028572140727192163,64.0,0,0
33,0.002783768642857148,0.002710972912609577,64.0,0,0
34,0.00263879464105948,0.00256182998418808,64.0,0,0
35,0.0024983691901229975,0.002441314747557044,64.0,0,0
36,0.0023725094322703385,0.002308487193658948,64.0,0,0
37,0.0022577653728882994,0.002211542334407568,64.0,0,0
38,0.002148810443223307,0.002108243526890874,64.0,0,0
39,0.0020572071314969085,0.0020195769611746073,64.0,0,0
40,0.00196657671895401,0.0019393527181819081,64.0,0,0
41,0.001884511825138409,0.0018660230562090874,64.0,0,0
42,0.0018073506592037646,0.0017926939763128757,64.0,0,0
43,0.0017485820684222538,0.0017295043217018247,64.0,0,0
44,0.0016762783134094718,0.0016550959553569555,64.0,0,0
45,0.0016106905766942522,0.001611162442713976,64.0,0,0
46,0.0015542053499079326,0.0015573198907077312,64.0,0,0
47,0.0015106484265344446,0.0015067917993292212,64.0,0,0
48,0.0014559262444412237,0.0014615532709285617,64.0,0,0
49,0.001413800614771613,0.0014254688285291195,64.0,0,0
