representation,target,task,metric,trained_mean,trained_std,random_label_mean,descriptor_mean,descriptor_noleak_mean,gap_mean,gap_std,gap_noleak_mean,gap_noleak_std,baseline_leaky,prevalence,n_seeds,trivially_decodable
latent,boron,classification,AUROC,0.9994849601718621,0.0009653736499315242,0.5002821738861333,1.0,0.9999729753546095,-0.0005150398281380308,0.0009653736499315079,-0.000488015182747592,0.0009827666515772888,True,0.002870156610719411,5,True
latent,halogen,classification,AUROC,0.9993512491009142,0.0005062149146823719,0.49166338985618463,0.999999688469153,0.9999453179032283,-0.000648439368238729,0.000505636899383461,-0.0005940688023140295,0.000490714679548666,True,0.49931365820178447,5,True
latent,aromaticity,classification,AUROC,0.9986688930486654,0.0017398601959963459,0.5018371474864557,0.9999891916738557,0.9999709426632449,-0.0013202986251903636,0.001722224935902422,-0.0013020496145796257,0.0016929795804690043,True,0.9061271604167966,5,True
latent,urea,classification,AUROC,0.9080087319070769,0.029233715326222137,0.5220270361187183,0.9992356282916909,0.9992356282916909,-0.09122689638461401,0.029653502729557097,-0.09122689638461401,0.029653502729557097,False,0.009546390466088475,5,True
latent,molecular_weight,regression,R2,0.9853872771484056,0.004066286297767978,-0.05659887148853508,0.980054416350711,0.980054416350711,0.005332860797694528,0.002868950600920415,0.005332860797694528,0.002868950600920415,False,,5,True
latent,size,regression,R2,0.9853847611874776,0.004067694740222199,-0.052925634750421405,0.9800543895507907,0.9800543895507907,0.005330371636686926,0.002870220644213585,0.005330371636686926,0.002870220644213585,False,,5,True
latent,polarity,regression,R2,0.9730835373529894,0.0005308022571592392,-0.06155436686810991,0.9855088816032213,0.9855088816032213,-0.012425344250232007,0.0009527379046512734,-0.012425344250232007,0.0009527379046512734,False,,5,True
latent,complexity_ringproxy,regression,R2,0.9360141650393583,0.00466558973700635,-0.053993234640855016,0.9982445348714831,0.912530417346829,-0.06223036983212489,0.0038684608113357124,0.023483747692529235,0.007140784766702211,True,,5,False
latent,lipophilicity,regression,R2,0.8309092768895725,0.007153767687443418,-0.06736206751866755,0.9589202000442926,0.9589202000442926,-0.12801092315472,0.006795046458114261,-0.12801092315472,0.006795046458114261,False,,5,True
latent,drug_likeness,regression,R2,0.6192469243739175,0.020865921274628555,-0.05670262385869109,0.611748606697414,0.611748606697414,0.007498317676503418,0.019184094219790098,0.007498317676503418,0.019184094219790098,False,,5,True
