seed_a,seed_b,n_features,mean_best_cosine,median_best_cosine,frac_above_thresh,frac_above_0.7,frac_above_0.5
42,43,1024,0.23915109038352966,0.21763715147972107,0.0009765625,0.013671875,0.025390625
42,44,1024,0.23833557963371277,0.2174137830734253,0.0009765625,0.0078125,0.0302734375
42,45,1024,0.23764175176620483,0.2167447805404663,0.0009765625,0.0107421875,0.025390625
42,46,1024,0.23735050857067108,0.21574366092681885,0.0,0.0107421875,0.0283203125
43,44,1024,0.23719626665115356,0.218222975730896,0.0009765625,0.0078125,0.025390625
43,45,1024,0.23788869380950928,0.21660688519477844,0.0,0.013671875,0.025390625
43,46,1024,0.2355591356754303,0.21585649251937866,0.001953125,0.0078125,0.0263671875
44,45,1024,0.2345561385154724,0.21522843837738037,0.0009765625,0.0078125,0.02734375
44,46,1024,0.2347688376903534,0.21539947390556335,0.0,0.0078125,0.0263671875
45,46,1024,0.23791277408599854,0.21748483180999756,0.0,0.0087890625,0.03125
NULL,NULL,1024,0.21358533238347524,0.2106987745566998,0.0,0.0,0.0
