epoch,train_mse,val_nmse,val_mean_l0,n_dead_epoch,n_resampled
0,0.7891986743922819,0.22297947108745575,64.00031280517578,0,0
1,0.16318168255843615,0.12556973099708557,64.0,0,0
2,0.10185072923961438,0.08582117408514023,64.0,0,0
3,0.07268279686308744,0.06395116448402405,64.0,0,0
4,0.055572212069180976,0.05023641511797905,64.0,0,0
5,0.0444788790324278,0.040950145572423935,64.0,0,0
6,0.036869002146679056,0.03448435664176941,64.0,0,0
7,0.031265461555959884,0.029585963115096092,64.0,0,0
8,0.02697606629839069,0.025812655687332153,64.0,0,0
9,0.023572604743796483,0.0226061400026083,64.0,0,0
10,0.020736909781893093,0.019964907318353653,64.0,0,0
11,0.018368552030439963,0.017671993002295494,64.0,0,0
12,0.01622309445877347,0.015702925622463226,64.0,0,0
13,0.014404796913527605,0.014015532098710537,64.0,0,0
14,0.012826370483819852,0.012514454312622547,64.0,0,0
15,0.011476268795760055,0.011267662979662418,64.0,0,0
16,0.010281390445143507,0.010106710717082024,64.0,0,0
17,0.009246534063366422,0.009132486768066883,64.0,0,0
18,0.00834035715741808,0.00827676709741354,64.0,0,0
19,0.007557615498897799,0.007532144896686077,64.0,0,0
20,0.0068645316682625235,0.006885054055601358,64.0,0,0
21,0.0062560892271760265,0.006301995366811752,64.0,0,0
22,0.005731996467435046,0.005807038862258196,64.0,0,0
23,0.005268540813407877,0.005350668914616108,64.0,0,0
24,0.004856268679232974,0.004944939631968737,64.0,0,0
25,0.004484446433356456,0.004602150060236454,64.0,0,0
26,0.004160511613774456,0.0042630759999156,64.0,0,0
27,0.0038850194848093545,0.003996127750724554,64.0,0,0
28,0.0036238755401746744,0.0037518106400966644,64.0,0,0
29,0.0033726471705002744,0.0034968380350619555,64.0,0,0
30,0.0031701538532057354,0.0033139404840767384,64.0,0,0
31,0.0029836321053536316,0.0031253753695636988,64.0,1,0
32,0.002821755456623801,0.002976445946842432,64.0,0,0
33,0.0026680521846732547,0.002815245185047388,64.0,0,0
34,0.002517909371179708,0.0026760976761579514,64.0,2,0
35,0.002380917257253538,0.0025156144984066486,64.0,1,0
36,0.0022626136258048447,0.0024160246830433607,64.0,2,0
37,0.0021552062662841195,0.002289936877787113,64.0,2,0
38,0.002057998379888503,0.0021923494059592485,64.0,2,0
39,0.0019652019663338074,0.002101192018017173,64.0,2,0
40,0.0018735044644001806,0.025012683123350143,64.0,2,2
41,0.004036274197380663,0.0020567968022078276,64.0,0,0
42,0.0017990018016446317,0.0019222861155867577,64.0,1,0
43,0.0017165755832633167,0.0018486346816644073,64.0,1,0
44,0.0016512404146947358,0.0017920626560226083,64.0,1,0
45,0.00160653100414365,0.0017394594615325332,64.0,2,0
46,0.0015586516023368428,0.0016990219010040164,64.0,1,0
47,0.0015141151584031288,0.0016536525217816234,64.0,2,0
48,0.0014686405111365673,0.0016021629562601447,64.0,2,0
49,0.0014287465407202642,0.0015633931616321206,64.0,1,0
