,drug_likeness,complexity,lipophilicity,size,polarity,flexibility
Factor_103,-0.06203148104385717,0.11333069793539803,-0.16578173181543499,-0.23310421600879347,0.0002974154939755956,-0.1311421521692666
Factor_104,-0.005731715431213498,0.0056813911284978235,-0.002169785276698416,-0.002186495918705512,-0.002344108152131959,0.010608430848144062
Factor_105,-0.009394653022865776,-0.00030557616264242666,-0.004908052513613057,0.0006264847759983453,0.008310701436647963,0.004309788362116774
Factor_106,-0.011935268054865994,0.0872672419147314,-0.1998469890945345,-0.11337838148279573,0.38328455133237394,0.0014175782648426579
Factor_107,-0.0021665063565638643,-0.003408932351232904,0.0002656185496663153,0.0016884018788486921,0.004640680627552751,0.002245546826194007
Factor_108,-0.25217452833633813,-0.05092953001321135,0.12618315690428922,0.29499023192626495,0.13462498240579823,0.1579700329131104
Factor_109,-0.004114235967201594,-0.003345282597839709,0.0011086331918441538,0.003914637918217193,0.003654842138341749,-0.002892504633276923
Factor_110,-0.00044408545629187526,-0.006123456394577542,0.005816416114632723,0.005976226036021699,0.002806523769723149,7.991889749150629e-05
Factor_111,0.010148731247384512,-0.0004577479945873308,-0.004609382994722836,0.0025840043001749417,0.0040426634831022355,0.0009447794357590443
Factor_112,-0.029075249331662757,0.15969623685094111,-0.14296362232978976,-0.25501175036537377,-0.09833812616537674,-0.10209337684760991
Factor_113,-0.014266552295799083,0.2900347502052553,0.16468209435964276,-0.14488684870758847,-0.06432021104688235,-0.10652220255484271
Factor_114,0.19214862061422996,-0.1005263033337051,-0.0823814180552303,-0.3057167390539561,-0.24540344435262065,-0.16583440494889545
Factor_115,0.010981182766920412,-0.005331849772192001,-0.005058584646295526,-0.008205744026786657,-0.004484515127067552,-0.004743147218371087
Factor_116,-0.008212253287819871,0.008804735939660127,-0.005476927018559381,0.005186352421804098,0.010295252550001788,0.004392044162140691
Factor_117,-8.377302639932068e-05,-0.01191896702959212,-0.004963818961810004,-0.0027285357442596997,-0.0019762574352406915,0.004279020283460449
Factor_118,-0.3074455682362632,0.3576588016877925,-0.35525104706026,0.08087281810484294,0.5398934890472549,0.16483985665632503
Factor_119,-0.1491185897586364,0.10137615658347243,-0.07248608645925926,-0.2533394151082738,-0.13585984492086509,-0.13925712934274695
Factor_120,-0.0007660210032721673,-0.003800456540599868,-0.0031493319664487995,0.001721723813888523,0.004489068453973016,0.00275270445900871
Factor_121,0.005655499322902159,0.008972631627882218,0.009329563216744273,-0.00044928867836694454,0.0016085710836445748,0.01064499601159334
Factor_122,0.003133775116687777,0.004693911668029345,-0.006459439851346991,-0.010759375567332832,-0.0070317907719144755,-0.0011150078773818999
Factor_123,0.004855367384698994,-0.007301225889789989,-0.01184334308197387,-0.009497414870210445,-0.002422544073491872,-0.005823490299983552
Factor_124,0.0023225602003559224,0.004270831337878382,-0.001548205212866916,-0.0025911102250186085,0.0030438156237194928,-0.009877015119197568
Factor_125,-4.586208907242333e-05,0.00783187192382074,0.003022470950216292,0.0011796353046711128,0.00016031500215440644,-0.0027886785899040303
Factor_126,-0.06068241130148966,0.1685894487048289,-0.23071878156617995,-0.4054280419456425,-0.11551440234430987,-0.14799628314128765
Factor_127,-0.007588437501064391,0.0046078333668447624,-0.002163700657083464,-0.0016978904812825135,0.0026284067128419762,0.0030106712951795613
